GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000205116	1	1361508	1363167	6	2	20193	0.25794	0.39823	TMEM88B
ENSG00000179403	1	1370241	1378262	10	3	20666	-0.46572	0.67929	VWA1
ENSG00000215915	1	1385069	1405538	18	5	15126	-1.1571	0.87638	ATAD3C
ENSG00000160072	1	1407143	1433228	41	8	15744	0.17199	0.43172	ATAD3B
ENSG00000197785	1	1447531	1470067	83	10	27499	1.7078	0.043835	ATAD3A
ENSG00000205090	1	1470554	1475833	8	2	35642	-0.39799	0.65468	TMEM240
ENSG00000160075	1	1477053	1510249	96	9	28917	-0.12166	0.54842	SSU72
ENSG00000215014	1	1510355	1511373	6	2	16089	-0.76636	0.77827	AL645728.1
ENSG00000228594	1	1533392	1535476	1	1	16718	-0.57484	0.7173	C1orf233
ENSG00000197530	1	1550795	1565990	9	3	16718	0.10528	0.45808	MIB2
ENSG00000248333	1	1570603	1590473	24	3	16718	-1.1058	0.86559	CDK11B
ENSG00000189339	1	1592939	1624167	53	7	17170	-1.5442	0.93873	SLC35E2B
ENSG00000008128	1	1634169	1655766	49	2	9436	0.41998	0.33725	CDK11A
ENSG00000215790	1	1656277	1677431	42	3	12307	1.0896	0.13794	SLC35E2
ENSG00000008130	1	1682671	1711896	60	7	20482	0.90863	0.18177	NADK
ENSG00000078369	1	1716729	1822495	136	15	45632	0.99976	0.15871	GNB1
ENSG00000169885	1	1846266	1848735	11	3	51540	-1.4803	0.9306	CALML6
ENSG00000178821	1	1849029	1850712	5	2	51374	-1.5843	0.94343	TMEM52
ENSG00000142609	1	1853396	1935276	252	14	22191	0.14362	0.4429	C1orf222
ENSG00000187730	1	1950780	1962192	29	6	15762	0.11928	0.45253	GABRD
ENSG00000067606	1	1981909	2116834	491	40	42911	1.0994	0.1358	PRKCZ
ENSG00000162585	1	2115903	2144159	67	17	44494	1.488	0.068381	C1orf86
ENSG00000269554	1	2121237	2123179	4	2	28987	0.32691	0.37187	AL590822.2
ENSG00000203301	1	2143360	2145620	9	5	46562	0.43662	0.33119	AL590822.1
ENSG00000157933	1	2160134	2241558	349	73	47173	0.69579	0.24328	SKI
ENSG00000116151	1	2252692	2323146	445	58	50095	1.6515	0.049322	MORN1
ENSG00000157916	1	2323267	2336883	57	21	50512	0.10333	0.45885	RER1
ENSG00000157911	1	2336236	2345236	42	17	48508	0.36223	0.35859	PEX10
ENSG00000149527	1	2357419	2436969	416	63	42580	0.38416	0.35043	PLCH2
ENSG00000157881	1	2439972	2458039	88	20	46293	0.94515	0.17229	PANK4
ENSG00000197921	1	2460184	2461684	7	5	46918	-0.77579	0.78106	HES5
ENSG00000157873	1	2487078	2496821	37	11	47522	-0.82554	0.79547	TNFRSF14
ENSG00000157870	1	2517930	2522908	23	12	42432	-0.93947	0.82626	FAM213B
ENSG00000142606	1	2522078	2564481	205	15	49585	-1.3887	0.91754	MMEL1
ENSG00000215912	1	2567415	2718286	517	32	48613	-0.91793	0.82067	TTC34
ENSG00000169717	1	2938046	2939465	6	3	49252	-0.64711	0.74122	ACTRT2
ENSG00000142611	1	2985732	3355185	1961	218	44486	0.27689	0.39093	PRDM16
ENSG00000130762	1	3370990	3397677	118	17	44768	0.25655	0.39876	ARHGEF16
ENSG00000162591	1	3406484	3528059	679	106	37039	-0.27799	0.60949	MEGF6
ENSG00000158109	1	3541566	3546691	21	7	33067	-1.3488	0.9113	TPRG1L
ENSG00000116213	1	3547331	3569325	75	22	37193	-0.74128	0.77074	WRAP73
ENSG00000078900	1	3569084	3652765	362	65	40613	-0.35916	0.64026	TP73
ENSG00000162592	1	3668962	3688209	72	16	44295	1.0358	0.15016	CCDC27
ENSG00000235169	1	3689352	3692546	12	5	41273	0.054551	0.47825	SMIM1
ENSG00000130764	1	3696784	3713068	87	17	36748	0.22304	0.41175	LRRC47
ENSG00000116198	1	3728645	3773778	325	19	49961	-1.2409	0.89269	CEP104
ENSG00000169598	1	3773845	3801993	172	24	43307	-0.45862	0.67675	DFFB
ENSG00000198912	1	3805689	3816857	51	10	36051	0.43957	0.33013	C1orf174
ENSG00000196581	1	4714792	4852594	961	130	51382	0.36417	0.35786	AJAP1
ENSG00000131697	1	5922871	6052533	548	33	48757	-0.34833	0.63621	NPHP4
ENSG00000069424	1	6051526	6161253	467	81	45919	-0.39148	0.65228	KCNAB2
ENSG00000268332	1	6100630	6101399	5	3	52907	-0.41762	0.66189	AL035406.1
ENSG00000116254	1	6161853	6240183	378	48	50561	-0.28019	0.61034	CHD5
ENSG00000116251	1	6241329	6269449	84	19	48998	0.40412	0.34306	RPL22
ENSG00000158286	1	6265535	6281359	55	10	49659	1.2286	0.10962	RNF207
ENSG00000116237	1	6281253	6296032	48	10	47922	-0.022277	0.50889	ICMT
ENSG00000173673	1	6304252	6305638	6	3	49452	-0.73451	0.76868	HES3
ENSG00000158292	1	6307406	6321035	48	6	49603	0.43967	0.33009	GPR153
ENSG00000097021	1	6324329	6454451	608	37	49340	-0.93202	0.82434	ACOT7
ENSG00000069812	1	6472478	6484730	50	11	50633	-0.86355	0.80608	HES2
ENSG00000187017	1	6484848	6521430	137	19	48832	-0.91235	0.81921	ESPN
ENSG00000215788	1	6521211	6526255	21	10	47400	0.95331	0.17022	TNFRSF25
ENSG00000171680	1	6526152	6580121	214	45	47454	-0.7346	0.76871	PLEKHG5
ENSG00000162408	1	6581407	6614595	171	10	49447	-1.05	0.85315	NOL9
ENSG00000173662	1	6615241	6639817	90	21	46109	-0.80126	0.78851	TAS1R1
ENSG00000204859	1	6640061	6649340	23	12	44229	-0.55503	0.71056	ZBTB48
ENSG00000162413	1	6650784	6674667	90	31	45535	-0.643	0.73989	KLHL21
ENSG00000116273	1	6673745	6684093	34	10	48288	-1.6081	0.94609	PHF13
ENSG00000041988	1	6684926	6695646	46	13	48026	-0.77539	0.78094	THAP3
ENSG00000007923	1	6694228	6761984	241	42	49166	0.025449	0.48985	DNAJC11
ENSG00000171735	1	6845384	7829766	4112	303	48731	-0.37126	0.64478	CAMTA1
ENSG00000049245	1	7831329	7841492	47	16	51077	1.8773	0.030236	VAMP3
ENSG00000049246	1	7844380	7905237	301	34	52006	2.8003	0.002553	PER3
ENSG00000049247	1	7903143	7913572	46	16	54022	1.6551	0.048953	UTS2
ENSG00000049249	1	7979907	8000926	67	14	48731	-0.8822	0.81117	TNFRSF9
ENSG00000116288	1	8014351	8045565	103	24	48693	0.5384	0.29515	PARK7
ENSG00000116285	1	8064464	8086368	56	16	46837	0.30965	0.37841	ERRFI1
ENSG00000162426	1	8377886	8404227	107	20	52477	-0.55698	0.71123	SLC45A1
ENSG00000142599	1	8412457	8877702	1074	45	48381	-0.4752	0.68268	RERE
ENSG00000074800	1	8921061	8939308	48	14	47384	0.95539	0.16969	ENO1
ENSG00000131686	1	9005926	9035151	171	41	49594	-0.20745	0.58217	CA6
ENSG00000197241	1	9063359	9086404	114	37	41567	-0.22564	0.58926	SLC2A7
ENSG00000142583	1	9095166	9148537	287	33	51208	0.88359	0.18846	SLC2A5
ENSG00000180758	1	9160364	9189229	125	25	50675	-1.301	0.90337	GPR157
ENSG00000049239	1	9294834	9331396	162	39	50023	1.4466	0.073998	H6PD
ENSG00000171621	1	9352939	9429591	518	89	49818	-0.14329	0.55697	SPSB1
ENSG00000171612	1	9599541	9645237	111	25	47560	0.96987	0.16606	SLC25A33
ENSG00000188807	1	9648932	9674935	57	14	48497	0.50318	0.30742	TMEM201
ENSG00000171608	1	9711790	9789172	306	52	40136	-0.56219	0.71301	PIK3CD
ENSG00000179840	1	9712668	9714644	8	4	49253	0.78071	0.21749	C1orf200
ENSG00000171603	1	9789084	9884584	382	19	30092	-0.54126	0.70584	CLSTN1
ENSG00000178585	1	9908334	9970394	178	39	39280	0.041632	0.4834	CTNNBIP1
ENSG00000162441	1	9982173	10003465	67	16	36738	0.22864	0.40958	LZIC
ENSG00000173614	1	10003486	10045559	107	19	44248	0.12243	0.45128	NMNAT1
ENSG00000162444	1	10057264	10076078	54	9	50875	-0.70671	0.76013	RBP7
ENSG00000130939	1	10092890	10241297	498	41	48343	-1.743	0.95934	UBE4B
ENSG00000054523	1	10270863	10441661	673	26	51825	-0.2783	0.60961	KIF1B
ENSG00000142657	1	10458649	10480201	69	14	51531	-0.44655	0.6724	PGD
ENSG00000251503	1	10490159	10512210	85	14	51474	-0.29431	0.61574	APITD1-CORT
ENSG00000175279	1	10490159	10512210	85	14	51474	-0.29431	0.61574	APITD1
ENSG00000241563	1	10509776	10511959	5	3	50943	-0.42726	0.6654	CORT
ENSG00000160049	1	10516579	10532583	48	17	48851	-0.6439	0.74018	DFFA
ENSG00000142655	1	10532345	10690815	567	55	50126	0.06294	0.47491	PEX14
ENSG00000130940	1	10696661	10856707	625	105	45301	1.2666	0.10265	CASZ1
ENSG00000175262	1	11006528	11042094	149	23	41950	-1.3875	0.91736	C1orf127
ENSG00000120948	1	11072414	11085796	31	6	48599	-0.30254	0.61888	TARDBP
ENSG00000009724	1	11086580	11107290	72	11	40460	-0.74112	0.77069	MASP2
ENSG00000116649	1	11114641	11120081	9	3	49509	0.46079	0.32247	SRM
ENSG00000171824	1	11126675	11159938	116	8	50424	-0.06466	0.52578	EXOSC10
ENSG00000198793	1	11166592	11322564	406	16	48010	0.26739	0.39458	MTOR
ENSG00000171819	1	11249398	11256038	19	4	45282	0.73755	0.23039	ANGPTL7
ENSG00000120942	1	11333263	11356106	43	8	45271	-0.93581	0.82531	UBIAD1
ENSG00000204624	1	11539223	11597641	195	26	51643	-0.96402	0.83248	PTCHD2
ENSG00000116661	1	11708424	11715842	26	14	42106	1.583	0.056715	FBXO2
ENSG00000132879	1	11714432	11723384	25	8	41141	0.79562	0.21313	FBXO44
ENSG00000116663	1	11724181	11734411	44	11	37996	-1.4957	0.93263	FBXO6
ENSG00000116670	1	11734537	11751707	77	18	37517	-0.10616	0.54227	MAD2L2
ENSG00000162490	1	11751786	11785914	138	31	38615	0.15703	0.43761	DRAXIN
ENSG00000177674	1	11796141	11814859	70	13	44718	0.35791	0.36021	AGTRAP
ENSG00000215910	1	11821844	11849642	175	15	54158	-1.3164	0.90598	C1orf167
ENSG00000177000	1	11845780	11866977	99	16	52545	-0.95904	0.83123	MTHFR
ENSG00000011021	1	11866207	11903201	231	20	53341	-0.68391	0.75298	CLCN6
ENSG00000175206	1	11905766	11908402	20	6	54244	-0.53337	0.70311	NPPA
ENSG00000120937	1	11917521	11918988	3	2	28521	-0.26574	0.60478	NPPB
ENSG00000116685	1	11979648	11986485	30	11	48214	-0.49516	0.68976	KIAA2013
ENSG00000083444	1	11994262	12035595	179	27	47449	1.2798	0.1003	PLOD1
ENSG00000116688	1	12040238	12073571	120	16	50473	-0.47443	0.6824	MFN2
ENSG00000116691	1	12079523	12092102	33	10	46289	-0.50517	0.69328	MIIP
ENSG00000120949	1	12123434	12204264	295	58	45365	2.1768	0.014747	TNFRSF8
ENSG00000028137	1	12227060	12269285	185	30	49815	-1.2846	0.90054	TNFRSF1B
ENSG00000048707	1	12290124	12572099	768	33	42750	0.23538	0.40696	VPS13D
ENSG00000162496	1	12627939	12677737	209	45	46904	-1.1366	0.87214	DHRS3
ENSG00000204518	1	12704566	12727097	71	10	39590	0.3633	0.35819	AADACL4
ENSG00000188984	1	12776118	12788726	50	8	31105	-0.66999	0.74857	AADACL3
ENSG00000157330	1	12806163	12823847	53	9	31802	-0.095038	0.53786	C1orf158
ENSG00000116726	1	12834984	12838049	8	2	20532	-0.49302	0.689	PRAMEF12
ENSG00000116721	1	12851546	12856777	25	5	12005	0.56281	0.28678	PRAMEF1
ENSG00000204513	1	12884468	12891264	3	2	9747	-0.94086	0.82661	PRAMEF11
ENSG00000179172	1	12907261	12908578	4	1	9002	1.0044	0.15759	HNRNPCL1
ENSG00000120952	1	12916941	12921764	37	5	11574	1.4267	0.076832	PRAMEF2
ENSG00000243073	1	12939045	12946025	20	2	1793	-0.85204	0.8029	PRAMEF4
ENSG00000162494	1	13801445	13840543	191	44	44692	0.097628	0.46111	LRRC38
ENSG00000162493	1	13909960	13944452	152	42	45277	-0.21572	0.5854	PDPN
ENSG00000116731	1	14026693	14151574	518	41	50221	-0.47835	0.6838	PRDM2
ENSG00000189337	1	14925200	15444539	2496	259	46581	1.2388	0.10772	KAZN
ENSG00000171729	1	15479028	15546976	428	40	52088	-0.6592	0.74512	TMEM51
ENSG00000204464	1	15490840	15497813	34	11	52649	-1.2763	0.89907	C1orf195
ENSG00000142621	1	15573768	15726779	707	90	48325	0.60197	0.2736	FHAD1
ENSG00000142634	1	15736391	15756839	110	40	48106	-0.044227	0.51764	EFHD2
ENSG00000162438	1	15764935	15775737	45	19	41462	0.72604	0.23391	CTRC
ENSG00000142615	1	15783223	15798586	81	17	48610	-0.65726	0.74449	CELA2A
ENSG00000215704	1	15792404	15817895	116	25	50914	-1.7317	0.95834	CELA2B
ENSG00000132906	1	15817327	15853029	180	17	51730	-0.40674	0.6579	CASP9
ENSG00000116138	1	15853308	15918874	289	19	51744	-0.56552	0.71414	DNAJC16
ENSG00000116771	1	15898848	15911605	72	10	53165	-0.45516	0.6755	AGMAT
ENSG00000197312	1	15943995	15995539	171	16	50670	-0.12513	0.54979	DDI2
ENSG00000215695	1	15986364	15988217	6	4	49253	0.41795	0.33799	RSC1A1
ENSG00000116786	1	16010827	16061264	210	26	50956	-0.33133	0.6298	PLEKHM2
ENSG00000162461	1	16062900	16067891	13	7	46725	-1.0986	0.86403	SLC25A34
ENSG00000162460	1	16068917	16074477	34	10	47621	0.24169	0.40451	TMEM82
ENSG00000162458	1	16083102	16113089	137	29	46923	0.6873	0.24595	FBLIM1
ENSG00000065526	1	16174359	16266955	269	32	47536	-0.22939	0.59072	SPEN
ENSG00000116809	1	16268364	16302627	88	27	48699	-0.34799	0.63608	ZBTB17
ENSG00000183888	1	16330731	16335302	26	11	50218	-1.0082	0.84332	C1orf64
ENSG00000173641	1	16340523	16346089	51	7	54706	0.51954	0.30169	HSPB7
ENSG00000186510	1	16345370	16360545	115	20	52427	-0.61193	0.72971	CLCNKA
ENSG00000184908	1	16370272	16383803	150	19	52584	1.1419	0.12674	CLCNKB
ENSG00000185519	1	16384264	16400127	115	18	49769	-1.1698	0.87896	FAM131C
ENSG00000142627	1	16450832	16482582	86	26	46870	-1.0974	0.86376	EPHA2
ENSG00000142632	1	16524349	16539104	70	10	50955	0.040556	0.48382	ARHGEF19
ENSG00000204377	1	16555368	16556038	3	1	55880	0.31233	0.3774	C1orf134
ENSG00000132881	1	16558195	16563657	17	8	51490	-0.10637	0.54235	RSG1
ENSG00000037637	1	16573334	16678949	278	18	49509	0.74351	0.22859	FBXO42
ENSG00000055070	1	16679070	16724640	129	19	49860	1.1429	0.12654	SZRD1
ENSG00000187144	1	16713612	16763919	161	31	41154	0.92473	0.17755	SPATA21
ENSG00000157191	1	16767167	16786573	49	13	43020	0.21357	0.41544	NECAP2
ENSG00000268674	1	16865561	16866070	1	1	419	-1.0373	0.8502	FAM231B
ENSG00000219481	1	16888814	16940057	1	1	419	0.39425	0.3467	NBPF1
ENSG00000058453	1	17066768	17299474	164	16	34688	0.38667	0.3495	CROCC
ENSG00000117122	1	17300997	17307330	23	6	52481	-1.4742	0.92978	MFAP2
ENSG00000159363	1	17312453	17338423	67	16	48735	-1.3991	0.91911	ATP13A2
ENSG00000117118	1	17345217	17380665	135	16	53451	0.5141	0.30359	SDHB
ENSG00000117115	1	17393256	17445948	321	23	50582	-0.15561	0.56183	PADI2
ENSG00000142623	1	17531621	17572500	230	72	45816	-1.1708	0.87915	PADI1
ENSG00000142619	1	17575593	17610728	216	38	52237	-0.37288	0.64538	PADI3
ENSG00000159339	1	17634690	17690499	397	40	51884	-0.019229	0.50767	PADI4
ENSG00000269468	1	17655507	17676070	173	17	52578	-0.061592	0.52456	AC004824.2
ENSG00000179051	1	17733256	17766220	118	26	50611	1.1087	0.13378	RCC2
ENSG00000074964	1	17866330	18024369	541	76	46355	0.55681	0.28883	ARHGEF10L
ENSG00000117148	1	18081808	18153558	290	39	50327	-0.69898	0.75772	ACTL8
ENSG00000117154	1	18434240	18704977	1310	164	48096	-1.3608	0.91322	IGSF21
ENSG00000179023	1	18807424	18812478	29	7	53638	1.4064	0.079806	KLHDC7A
ENSG00000009709	1	18957500	19075360	527	103	44693	0.47617	0.31698	PAX7
ENSG00000179002	1	19166093	19186176	149	30	49515	-0.086933	0.53464	TAS1R2
ENSG00000255275	1	19175767	19247615	508	57	44628	-0.52437	0.69999	RP13-279N23.2
ENSG00000159423	1	19197926	19229275	212	40	44677	-0.3705	0.6445	ALDH4A1
ENSG00000169991	1	19230775	19283180	297	52	47152	0.28737	0.38691	IFFO2
ENSG00000127481	1	19401000	19536770	435	40	50084	-0.35484	0.63865	UBR4
ENSG00000127463	1	19542158	19578046	146	23	52385	-0.59951	0.72558	EMC1
ENSG00000053372	1	19578033	19586622	61	11	53903	-0.17072	0.56778	MRTO4
ENSG00000162482	1	19609052	19615744	36	8	53697	0.026616	0.48938	AKR7A3
ENSG00000053371	1	19630459	19638640	32	14	50286	-0.86363	0.8061	AKR7A2
ENSG00000040487	1	19638820	19655794	114	21	52159	-0.11711	0.54661	PQLC2
ENSG00000077549	1	19665267	19812066	820	45	50782	-0.12404	0.54936	CAPZB
ENSG00000270136	1	19923473	19984549	328	43	49274	0.52849	0.29858	MINOS1-NBL1
ENSG00000173436	1	19923477	19956314	159	19	47766	0.68647	0.24621	MINOS1
ENSG00000158747	1	19967048	19984945	106	38	50490	0.74273	0.22882	NBL1
ENSG00000158748	1	19991780	20006055	65	16	50642	-0.68298	0.75269	HTR6
ENSG00000162542	1	20008706	20126438	501	77	49147	0.56966	0.28445	TMCO4
ENSG00000178828	1	20140523	20141771	10	6	46756	-2.0056	0.97755	RNF186
ENSG00000169914	1	20209006	20239438	105	24	52479	-0.0097482	0.50389	OTUD3
ENSG00000188784	1	20246502	20250110	23	8	50693	-0.074935	0.52987	PLA2G2E
ENSG00000188257	1	20301925	20306932	24	13	49212	-0.35806	0.63985	PLA2G2A
ENSG00000127472	1	20354672	20417683	277	31	52773	-1.1348	0.87177	PLA2G5
ENSG00000117215	1	20438432	20446050	34	16	45810	-0.21198	0.58394	PLA2G2D
ENSG00000158786	1	20465819	20476879	36	20	41539	0.3147	0.37649	PLA2G2F
ENSG00000187980	1	20487746	20503917	70	18	48564	2.2284	0.012927	PLA2G2C
ENSG00000162543	1	20512578	20522541	22	13	40651	2.124	0.016833	UBXN10
ENSG00000158816	1	20617412	20681387	347	44	51498	0.07943	0.46835	VWA5B1
ENSG00000162545	1	20808884	20812713	8	5	47800	0.24766	0.4022	CAMK2N1
ENSG00000090432	1	20825943	20834654	41	17	49303	1.1762	0.11976	MUL1
ENSG00000183114	1	20878932	20881512	7	3	48234	0.61576	0.26903	FAM43B
ENSG00000158825	1	20915441	20945401	169	32	51958	1.2306	0.10924	CDA
ENSG00000158828	1	20959948	20978004	95	17	51573	1.1291	0.12944	PINK1
ENSG00000244038	1	20978270	20988000	44	12	51227	1.4417	0.074689	DDOST
ENSG00000117245	1	20990507	21044510	279	60	48335	-0.57442	0.71716	KIF17
ENSG00000189410	1	21046225	21059330	45	13	50115	-0.54412	0.70682	SH2D5
ENSG00000127483	1	21069154	21113816	116	20	51358	0.19033	0.42453	HP1BP3
ENSG00000075151	1	21132963	21503377	994	40	49665	0.84565	0.19887	EIF4G3
ENSG00000117298	1	21543740	21671997	500	73	50330	0.67744	0.24906	ECE1
ENSG00000142794	1	21766621	21811498	232	24	50158	0.0041776	0.49833	NBPF3
ENSG00000162551	1	21835858	21904905	391	42	50739	0.64929	0.25807	ALPL
ENSG00000076864	1	21922708	21995801	359	62	52410	1.3234	0.092858	RAP1GAP
ENSG00000090686	1	22004791	22110099	493	53	51358	0.53241	0.29722	USP48
ENSG00000187942	1	22138758	22151714	64	31	49468	2.5818	0.0049149	LDLRAD2
ENSG00000142798	1	22148738	22263790	534	52	50007	0.63431	0.26294	HSPG2
ENSG00000219073	1	22303514	22325135	278	25	48865	1.9976	0.02288	CELA3B
ENSG00000142789	1	22328149	22339032	100	18	39092	2.3997	0.0082047	CELA3A
ENSG00000070831	1	22379120	22419437	174	35	49649	3.4064	0.00032914	CDC42
ENSG00000162552	1	22443798	22470462	136	34	49006	5.2577	7.2928e-08	WNT4
ENSG00000184677	1	22778344	22857650	233	39	47670	-0.18873	0.57485	ZBTB40
ENSG00000070886	1	22890057	22930087	225	41	52063	1.1136	0.13273	EPHA8
ENSG00000173372	1	22962999	22966101	8	4	51418	0.29276	0.38485	C1QA
ENSG00000159189	1	22970123	22974603	27	6	53259	-0.35552	0.6389	C1QC
ENSG00000173369	1	22979255	22988031	42	13	51134	-0.45192	0.67434	C1QB
ENSG00000133216	1	23037332	23241818	706	106	48200	-0.38378	0.64943	EPHB2
ENSG00000215906	1	23279536	23291831	45	13	50133	0.85704	0.19571	LACTBL1
ENSG00000227868	1	23337327	23342343	11	4	49962	-0.42686	0.66526	C1orf234
ENSG00000004487	1	23345941	23410182	114	21	48337	0.31086	0.37795	KDM1A
ENSG00000169641	1	23410516	23504301	240	37	50590	2.2521	0.012157	LUZP1
ENSG00000179546	1	23516993	23521222	15	6	47959	0.6858	0.24642	HTR1D
ENSG00000125944	1	23630264	23670829	80	24	47506	0.16366	0.435	HNRNPR
ENSG00000125945	1	23685941	23695935	36	10	52430	0.32864	0.37121	ZNF436
ENSG00000249087	1	23695490	23698332	5	3	50679	-0.56676	0.71456	C1orf213
ENSG00000204219	1	23707554	23751233	167	32	49908	0.41479	0.33915	TCEA3
ENSG00000088280	1	23755056	23811061	200	34	49313	0.50113	0.30814	ASAP3
ENSG00000007968	1	23832922	23857712	69	13	51999	0.50962	0.30516	E2F2
ENSG00000117318	1	23884409	23886285	12	6	50596	-0.24333	0.59613	ID3
ENSG00000197880	1	23907985	23967058	172	52	47414	1.1524	0.12459	MDS2
ENSG00000142676	1	24018269	24022915	14	5	39193	-0.37458	0.64601	RPL11
ENSG00000011007	1	24069645	24088549	31	16	41597	-0.85407	0.80347	TCEB3
ENSG00000057757	1	24104895	24114722	15	9	42710	-0.38657	0.65046	PITHD1
ENSG00000011009	1	24117460	24122029	5	3	50595	0.72326	0.23476	LYPLA2
ENSG00000117308	1	24122089	24127271	4	2	25207	0.78067	0.2175	GALE
ENSG00000117305	1	24128375	24165110	76	12	45016	-0.18109	0.57185	HMGCL
ENSG00000179163	1	24171567	24194784	68	12	48082	0.29585	0.38367	FUCA1
ENSG00000188822	1	24197016	24285549	296	18	45035	-0.61097	0.72939	CNR2
ENSG00000189266	1	24285599	24289952	7	2	26653	1.4713	0.070612	PNRC2
ENSG00000188529	1	24291294	24307417	15	6	32685	2.3339	0.0098004	SRSF10
ENSG00000142661	1	24382525	24438665	279	30	50513	0.47353	0.31792	MYOM3
ENSG00000142677	1	24446261	24469611	102	28	48645	0.23623	0.40663	IL22RA1
ENSG00000185436	1	24480647	24514449	181	32	45607	-0.73288	0.76818	IFNLR1
ENSG00000158055	1	24645812	24690972	168	46	47626	-0.73365	0.76842	GRHL3
ENSG00000001460	1	24683489	24743424	238	36	51301	-0.70528	0.75968	STPG1
ENSG00000001461	1	24742284	24799466	267	34	50237	-1.0495	0.85303	NIPAL3
ENSG00000117602	1	24829387	24867530	181	30	50777	-0.26456	0.60433	RCAN3
ENSG00000184454	1	24882602	24935819	306	40	52775	-0.91292	0.81936	NCMAP
ENSG00000133226	1	24958207	24999758	81	23	48614	-0.0085796	0.50342	SRRM1
ENSG00000169504	1	25071848	25170815	215	45	47773	-0.4274	0.66546	CLIC4
ENSG00000020633	1	25226002	25291612	237	62	47769	0.22907	0.40941	RUNX3
ENSG00000117614	1	25549170	25558993	14	9	39266	2.0486	0.020249	SYF2
ENSG00000117616	1	25568728	25664704	108	20	43286	-0.20044	0.57943	C1orf63
ENSG00000187010	1	25598884	25656936	61	10	42453	-0.58213	0.71976	RHD
ENSG00000183726	1	25664408	25688852	37	12	44140	1.7803	0.03751	TMEM50A
ENSG00000188672	1	25688740	25756683	136	12	45432	1.8453	0.032495	RHCE
ENSG00000204178	1	25757388	25826700	133	9	47665	1.5998	0.054821	TMEM57
ENSG00000157978	1	25870071	25895377	61	12	43365	2.0064	0.022409	LDLRAP1
ENSG00000117643	1	25943959	26112698	439	44	45165	0.60587	0.2723	MAN1C1
ENSG00000162430	1	26126667	26144713	58	7	52708	1.7976	0.036119	SEPN1
ENSG00000255054	1	26137961	26150235	43	6	51331	1.8997	0.028738	RP1-317E23.6
ENSG00000117640	1	26145131	26159432	39	5	52162	1.6025	0.054517	MTFR1L
ENSG00000223474	1	26145212	26147288	8	3	51665	1.3837	0.083233	AL020996.1
ENSG00000127423	1	26158414	26185903	83	6	52012	1.6271	0.051859	AUNIP
ENSG00000182749	1	26187701	26197744	16	7	46578	0.65667	0.2557	PAQR7
ENSG00000117632	1	26210672	26233482	48	13	46380	1.4126	0.078884	STMN1
